timestamp_utc,temperature_c,humidity_percent,rain_mm,wind_speed_kmh,wind_direction_deg,pressure_hpa,weather_code,aqi_us,pm2_5,pm10,co,no2,o3
2026-08-07 00:32:38,26.0,95,,11.1,50,975.2,3,90,38.1,38.2,345.0,19.9,54.0
2026-08-07 01:52:21,26.7,92,,13.2,70,975.8,3,92,36.1,36.2,357.0,17.4,61.0
2026-08-07 06:13:48,30.6,77,,12.8,90,976.6,95,96,25.7,25.7,350.0,3.4,147.0
2026-08-07 09:22:20,31.8,74,,11.3,63,973.3,96,98,24.6,24.7,344.0,3.4,151.0
2026-08-07 11:49:23,28.7,83,,6.5,67,973.3,95,94,23.2,23.3,343.0,7.0,129.0
2026-08-07 12:30:56,27.5,92,,11.0,75,974.2,96,94,23.5,23.6,364.0,10.4,113.0
2026-08-07 15:30:26,26.8,96,,7.3,73,976.5,51,95,40.2,40.3,558.0,28.4,64.0
2026-08-07 15:42:38,26.8,96,0.1,7.3,73,976.5,51,95,40.2,40.3,558.0,28.4,64.0
2026-08-07 16:11:46,26.7,96,0.1,7.3,79,976.9,51,95,39.1,39.2,578.0,28.6,59.0
2026-08-07 16:34:35,26.7,96,0.0,8.1,89,977.1,3,95,39.1,39.2,578.0,28.6,59.0
2026-08-07 17:30:25,26.6,96,0.2,9.0,102,977.1,53,94,37.5,37.6,576.0,26.4,58.0
2026-08-07 18:30:32,26.6,96,0.0,10.2,98,976.8,3,92,38.5,38.6,556.0,24.1,58.0
2026-08-07 19:30:25,26.8,95,0.0,12.6,91,976.5,3,91,37.0,37.1,508.0,22.6,57.0
2026-08-07 20:30:31,26.8,95,0.0,12.5,95,976.2,3,89,35.9,35.9,443.0,21.0,56.0
2026-08-07 21:30:23,26.8,95,0.0,11.5,100,976.0,3,88,37.0,37.0,394.0,19.5,57.0
2026-08-07 22:30:31,26.8,95,0.0,10.9,102,976.0,3,90,39.6,39.7,378.0,16.2,63.0
2026-08-07 23:30:27,26.6,95,0.0,10.6,99,976.1,3,90,39.6,39.8,378.0,15.6,63.0
2026-08-08 00:30:22,25.8,93,0.0,13.1,102,976.4,3,90,40.5,40.6,383.0,14.6,67.0
2026-08-08 01:30:25,26.8,92,0.0,15.0,110,977.1,3,92,41.3,41.6,391.0,12.8,77.0
2026-08-08 02:30:25,27.7,89,0.0,14.6,112,977.7,2,93,40.3,40.7,404.0,10.6,91.0
2026-08-08 03:30:28,28.5,85,0.0,16.2,109,978.1,2,94,38.4,39.1,410.0,8.5,107.0
2026-08-08 04:30:28,29.6,80,0.0,17.2,108,978.3,3,95,35.0,35.9,403.0,6.3,127.0
2026-08-08 05:30:31,30.6,77,0.0,17.4,111,978.4,3,96,32.0,32.6,390.0,4.1,149.0
2026-08-08 06:30:23,31.4,75,0.0,18.0,117,978.2,3,97,29.6,29.9,378.0,2.7,163.0
2026-08-08 07:30:22,31.1,78,0.1,15.1,118,976.9,95,98,29.4,29.6,369.0,2.3,164.0
2026-08-08 08:30:22,31.0,79,0.0,13.4,119,976.1,3,99,29.0,29.2,361.0,2.6,157.0
2026-08-08 09:30:24,31.7,74,0.0,10.8,120,975.1,3,99,30.6,30.7,358.0,3.3,150.0
2026-08-08 10:30:28,31.5,74,0.0,9.6,123,974.6,95,118,35.3,35.5,363.0,2.7,165.0
2026-08-08 11:30:23,31.3,75,0.0,6.5,113,974.5,2,133,34.3,34.6,372.0,3.6,159.0
2026-08-08 12:30:25,31.2,76,0.0,8.0,117,975.4,0,144,33.3,33.5,379.0,5.5,149.0
2026-08-08 13:30:24,29.8,83,0.0,7.1,99,976.1,1,148,36.6,36.7,381.0,9.6,130.0
2026-08-08 14:30:28,29.1,85,0.0,5.3,78,977.2,2,142,38.4,38.5,381.0,14.7,107.0
2026-08-08 15:30:23,29.0,85,0.0,9.6,87,978.0,3,128,38.5,38.6,633.0,18.3,89.0
